94,88,87.5,97.5,1
98,84,87.5,97.5,1
88,94,90,95,1
92,90,90,95,1
92,90,90,95,1
92,90,92.5,92.5,1
92,90,95,90,1
88,86,92.5,100,1
94,80,92.5,100,1
88,86,95,97.5,1
92,82,95,97.5,1
94,80,95,97.5,1
90,84,97.5,95,1
94,80,97.5,95,1
92,92,87.5,95,1
96,88,87.5,95,1
96,88,87.5,95,1
90,86,90,100,1
90,86,92.5,97.5,1
94,92,82.5,97.5,1
94,92,82.5,97.5,1
92,84,95,95,1
34.5,65,86,42,0
100,76,95,95,1
94,84,90,97.5,1
98,90,82.5,95,1
90,88,95,92.5,1
98,72,95,100,1
86,84,97.5,97.5,1
86,94,87.5,97.5,1
96,84,87.5,97.5,1
88,92,90,95,1
98,82,90,95,1
98,82,90,95,1
92,88,92.5,92.5,1
90,92,85,97.5,1
98,84,85,97.5,1
90,82,97.5,95,1
98,84,87.5,95,1
94,88,92.5,90,1
88,86,92.5,97.5,1
94,80,92.5,97.5,1
94,90,85,95,1
92,92,87.5,92.5,1
86,90,87.5,100,1
88,88,87.5,100,1
94,82,87.5,100,1
88,88,90,97.5,1
92,84,90,97.5,1
87,54,23,52,0
86,90,92.5,95,1
92,84,92.5,95,1
92,84,95,92.5,1
94,92,85,92.5,1
98,88,85,92.5,1
86,82,95,100,1
96,82,85,100,1
94,94,77.5,97.5,1
94,86,85,97.5,1
98,82,87.5,95,1
82,90,92.5,97.5,1
92,90,82.5,97.5,1
98,84,82.5,97.5,1
88,94,87.5,92.5,1
54,87,92,65,0
76,23,98,34,0
86,88,90,97.5,1
86,88,90,97.5,1
90,84,90,97.5,1
92,92,80,97.5,1
86,88,92.5,95,1
92,92,82.5,95,1
94,80,95,92.5,1
88,88,85,100,1
34,65,21,34,0
92,84,87.5,97.5,1
94,82,87.5,97.5,1
90,86,90,95,1
94,82,90,95,1
88,88,92.5,92.5,1
94,82,95,90,1
34,65,67,98,0
86,82,92.5,100,1
94,84,85,97.5,1
90,88,87.5,95,1
96,82,90,92.5,1
96,82,92.5,90,1
42,54,43,67,0
90,80,92.5,97.5,1
90,80,92.5,97.5,1
92,88,82.5,97.5,1
94,86,85,95,1
90,82,90,97.5,1
94,78,90,97.5,1
92,72,95,100,1
92,82,85,100,1
92,82,87.5,97.5,1
47,53,75,34,0
94,80,90,95,1
90,94,80,95,1
90,84,92.5,92.5,1
88,88,85,97.5,1
94,82,85,97.5,1
96,90,77.5,95,1
84,94,80,100,1
88,82,90,97.5,1
96,84,82.5,95,1
94,86,85,92.5,1
88,84,90,95,1
98,42,79,23,0
88,76,95,97.5,1
98,86,85,87.5,1
90,76,92.5,97.5,1
92,74,92.5,97.5,1
84,92,85,95,1
86,82,87.5,100,1
90,80,85,100,1
90,80,90,95,1
90,80,90,95,1
82,88,92.5,92.5,1
53,68,23,67,0
88,82,92.5,92.5,1
88,82,97.5,87.5,1
86,88,87.5,92.5,1
88,86,87.5,92.5,1
84,82,90,97.5,1
88,88,82.5,95,1
94,74,85,100,1
64.7,32,64,23,0
88,72,97.5,95,1
90,90,77.5,95,1
94,86,82.5,90,1
94,78,87.5,92.5,1
86,88,80,97.5,1
88,86,85,92.5,1
54.6,34,43.5,43,0
84,82,87.5,97.5,1
84,82,92.5,92.5,1
92,84,87.5,87.5,1
84,84,87.5,95,1
90,78,95,87.5,1
90,80,85,95,1
86,76,87.5,100,1
98,74,85,92.5,1
92,80,87.5,90,1
92,82,80,95,1
92,74,85,97.5,1
90,86,82.5,90,1
92,84,82.5,90,1
90,78,82.5,97.5,1
86,74,90,97.5,1
88,82,82.5,95,1
92,78,87.5,90,1
32,42,56,87,0
82,82,85,97.5,1
90,84,87.5,85,1
88,78,82.5,97.5,1
92,74,85,95,1
90,86,75,95,1
88,74,87.5,95,1
90,76,85,92.5,1
92,66,85,100,1
92,76,82.5,92.5,1
80,80,87.5,95,1
90,82,82.5,87.5,1
84,80,82.5,95,1
90,84,77.5,90,1
94,90,77.5,80,1
84,82,87.5,87.5,1
90,88,85,77.5,1
90,82,77.5,90,1
82,82,75,100,1
86,82,90,80,1
90,72,82.5,92.5,1
74,82,82.5,97.5,1
86,82,100,92.5,1
86,88,82.5,72.5,1
82,72,90,75,1
90,78,62.5,72.5,1
88,80,65,62.5,1
88,68,57.5,62.5,1
82,62.5,56,50,1
98,88,97.5,97.5,1
92,86,100,97.5,1
94,86,97.5,95,1
92,86,97.5,95,1
88,90,100,92.5,1
94,80,97.5,92.5,1
98,88,90,87.5,1
82,94,95,90,1
90,86,100,85,1
90,86,97.5,85,1
88,84,100,85,1
92,80,97.5,87.5,1
32,42,56,87,0
94,80,97.5,85,1
